ConjuntoDados,TamanhoTabela,FuncaoHash,TempoMedio(ns),ComparacoesMedias
dados_1M.txt,1000,RestoDivisao,306860,424
dados_1M.txt,1000,Multiplicacao,269720,438
dados_1M.txt,1000,Dobramento,364240,460
dados_1M.txt,10000,RestoDivisao,44340,48
dados_1M.txt,10000,Multiplicacao,47380,49
dados_1M.txt,10000,Dobramento,96720,205
dados_1M.txt,100000,RestoDivisao,16180,5
dados_1M.txt,100000,Multiplicacao,6840,5
dados_1M.txt,100000,Dobramento,111560,205
dados_5M.txt,1000,RestoDivisao,1766980,3248
dados_5M.txt,1000,Multiplicacao,1692740,3206
dados_5M.txt,1000,Dobramento,1343560,3186
dados_5M.txt,10000,RestoDivisao,69580,335
dados_5M.txt,10000,Multiplicacao,109960,326
dados_5M.txt,10000,Dobramento,216380,1039
dados_5M.txt,100000,RestoDivisao,9060,34
dados_5M.txt,100000,Multiplicacao,10340,34
dados_5M.txt,100000,Dobramento,288780,1039
dados_20M.txt,1000,RestoDivisao,1295200,8209
dados_20M.txt,1000,Multiplicacao,1487820,8212
dados_20M.txt,1000,Dobramento,1567480,8251
dados_20M.txt,10000,RestoDivisao,94480,832
dados_20M.txt,10000,Multiplicacao,81600,832
dados_20M.txt,10000,Dobramento,416860,4099
dados_20M.txt,100000,RestoDivisao,16460,85
dados_20M.txt,100000,Multiplicacao,14100,85
dados_20M.txt,100000,Dobramento,333860,4099
